Date,Advertising_Spend,Customers,Sales
2020-01-01,10,45,202
2020-01-02,25,198,450
2020-01-03,70,192,374
2020-01-04,73,63,212
2020-01-05,72,152,179
2020-01-06,78,89,298
2020-01-07,31,173,132
2020-01-08,76,137,216
2020-01-09,85,87,237
2020-01-10,35,38,332
2020-01-11,25,39,450
2020-01-12,60,132,209
2020-01-13,95,159,496
2020-01-14,66,66,225
2020-01-15,38,20,487
2020-01-16,87,109,281
2020-01-17,78,161,262
2020-01-18,56,83,283
2020-01-19,71,57,444
2020-01-20,78,56,395
2020-01-21,85,145,483
2020-01-22,25,158,435
2020-01-23,99,119,529
2020-01-24,99,96,337
2020-01-25,57,22,424
2020-01-26,94,180,310
2020-01-27,48,153,465
2020-01-28,42,197,175
2020-01-29,32,29,408
2020-01-30,19,24,393
2020-01-31,78,170,504
2020-02-01,43,157,210
2020-02-02,61,191,222
2020-02-03,19,149,335
2020-02-04,28,32,355
2020-02-05,67,187,440
2020-02-06,10,149,361
2020-02-07,78,103,348
2020-02-08,13,84,226
2020-02-09,25,82,541
2020-02-10,33,120,234
2020-02-11,89,92,425
2020-02-12,11,36,503
2020-02-13,41,28,316
2020-02-14,93,162,494
2020-02-15,33,171,324
2020-02-16,21,57,212
2020-02-17,59,182,522
2020-02-18,44,113,362
2020-02-19,42,114,471
2020-02-20,42,68,587
2020-02-21,70,88,290
2020-02-22,60,81,519
2020-02-23,52,197,219
2020-02-24,21,97,449
2020-02-25,76,136,474
2020-02-26,74,139,557
2020-02-27,42,156,266
2020-02-28,49,181,601
2020-02-29,83,95,557
2020-03-01,52,54,311
2020-03-02,53,20,588
2020-03-03,38,59,487
2020-03-04,22,83,260
2020-03-05,21,169,433
2020-03-06,55,79,310
2020-03-07,11,83,281
2020-03-08,44,112,593
2020-03-09,96,91,623
2020-03-10,90,30,239
2020-03-11,99,124,629
2020-03-12,17,33,295
2020-03-13,35,79,349
2020-03-14,83,49,505
2020-03-15,99,54,557
2020-03-16,43,184,440
2020-03-17,16,24,469
2020-03-18,77,102,297
2020-03-19,67,142,417
2020-03-20,84,97,459
2020-03-21,38,173,529
2020-03-22,45,81,612
2020-03-23,98,151,567
2020-03-24,30,108,536
2020-03-25,45,61,482
2020-03-26,19,108,521
2020-03-27,82,165,461
2020-03-28,33,59,569
2020-03-29,73,91,488
2020-03-30,58,58,485
2020-03-31,45,123,516
2020-04-01,91,33,619
2020-04-02,33,51,650
2020-04-03,32,198,338
2020-04-04,71,144,567
2020-04-05,46,185,506
2020-04-06,21,116,543
2020-04-07,64,42,481
2020-04-08,22,82,675
2020-04-09,32,162,338
2020-04-10,98,172,456
2020-04-11,39,164,316
2020-04-12,26,72,604
2020-04-13,71,123,370
2020-04-14,93,123,652
2020-04-15,98,198,636
2020-04-16,95,58,320
2020-04-17,22,198,657
2020-04-18,68,153,444
2020-04-19,28,86,453
2020-04-20,58,154,382
2020-04-21,21,198,460
2020-04-22,70,61,404
2020-04-23,28,34,717
2020-04-24,85,130,490
2020-04-25,18,176,618
2020-04-26,80,52,710
2020-04-27,37,174,594
2020-04-28,87,183,566
2020-04-29,61,176,378
2020-04-30,92,57,367
2020-05-01,25,116,476
2020-05-02,78,174,544
2020-05-03,21,52,673
2020-05-04,34,105,615
2020-05-05,61,85,382
2020-05-06,94,29,399
2020-05-07,62,24,415
2020-05-08,32,142,571
2020-05-09,25,93,650
2020-05-10,66,116,458
2020-05-11,48,137,533
2020-05-12,62,57,723
2020-05-13,51,160,579
2020-05-14,67,178,402
2020-05-15,48,66,596
2020-05-16,23,128,472
2020-05-17,14,199,504
2020-05-18,44,34,632
2020-05-19,96,176,382
2020-05-20,84,155,597
2020-05-21,27,24,636
2020-05-22,85,176,781
2020-05-23,18,66,744
2020-05-24,83,87,670
2020-05-25,67,95,782
2020-05-26,26,192,598
2020-05-27,16,149,408
2020-05-28,55,174,741
2020-05-29,22,114,439
2020-05-30,49,134,779
2020-05-31,51,183,580
2020-06-01,18,55,466
2020-06-02,59,45,757
2020-06-03,36,62,638
2020-06-04,75,46,650
2020-06-05,14,88,463
2020-06-06,38,167,509
2020-06-07,46,30,803
2020-06-08,47,93,639
2020-06-09,92,123,650
2020-06-10,17,57,658
2020-06-11,74,153,566
2020-06-12,95,42,596
2020-06-13,26,66,456
2020-06-14,80,109,465
2020-06-15,98,65,444
2020-06-16,54,126,593
2020-06-17,13,159,762
2020-06-18,45,160,624
2020-06-19,79,123,682
2020-06-20,40,130,527
2020-06-21,28,123,727
2020-06-22,70,79,511
2020-06-23,63,190,617
2020-06-24,48,119,494
2020-06-25,83,87,513
2020-06-26,99,152,587
2020-06-27,28,139,739
2020-06-28,48,56,485
2020-06-29,76,91,567
2020-06-30,54,146,505
2020-07-01,22,125,803
2020-07-02,67,111,751
2020-07-03,29,50,798
2020-07-04,81,141,597
2020-07-05,70,156,819
2020-07-06,48,70,704
2020-07-07,10,48,665
2020-07-08,12,59,702
2020-07-09,86,60,864
2020-07-10,71,30,858
2020-07-11,72,170,766
2020-07-12,34,20,606
2020-07-13,65,65,603
2020-07-14,42,120,722
2020-07-15,47,168,750
2020-07-16,15,109,852
2020-07-17,67,129,693
2020-07-18,53,183,634
2020-07-19,54,76,817
2020-07-20,41,20,666
2020-07-21,54,82,728
2020-07-22,70,74,812
2020-07-23,56,134,741
2020-07-24,30,187,681
2020-07-25,89,162,663
2020-07-26,94,168,828
2020-07-27,84,194,889
2020-07-28,45,72,677
2020-07-29,28,156,615
2020-07-30,29,199,754
2020-07-31,66,76,703
2020-08-01,27,136,638
2020-08-02,56,173,845
2020-08-03,58,188,581
2020-08-04,23,54,799
2020-08-05,24,82,828
2020-08-06,40,44,921
2020-08-07,10,109,924
2020-08-08,63,94,652
2020-08-09,12,57,642
2020-08-10,25,149,656
2020-08-11,96,154,626
2020-08-12,66,181,734
2020-08-13,84,110,662
2020-08-14,21,36,553
2020-08-15,83,147,683
2020-08-16,25,190,775
2020-08-17,81,127,611
2020-08-18,85,198,902
2020-08-19,33,171,785
2020-08-20,37,44,788
2020-08-21,17,199,950
2020-08-22,45,107,693
2020-08-23,99,180,699
2020-08-24,17,196,624
2020-08-25,67,48,745
2020-08-26,69,82,793
2020-08-27,59,169,737
2020-08-28,37,173,777
2020-08-29,50,175,828
2020-08-30,73,133,907
2020-08-31,36,68,788
2020-09-01,72,100,771
2020-09-02,26,103,712
2020-09-03,82,124,846
2020-09-04,42,196,887
2020-09-05,93,167,875
2020-09-06,86,137,922
2020-09-07,38,105,971
2020-09-08,22,82,699
2020-09-09,55,123,801
2020-09-10,44,68,1000
